"","year","homicide.rates","state"
"1",1990,18.1597469126086,"Brazil (exc. RR,RJ,SC,SP)"
"2",1991,19.3256509978865,"Brazil (exc. RR,RJ,SC,SP)"
"3",1992,17.9611222794324,"Brazil (exc. RR,RJ,SC,SP)"
"4",1993,18.7053745902201,"Brazil (exc. RR,RJ,SC,SP)"
"5",1994,18.8986995103936,"Brazil (exc. RR,RJ,SC,SP)"
"6",1995,19.8675526270856,"Brazil (exc. RR,RJ,SC,SP)"
"7",1996,21.0514218633508,"Brazil (exc. RR,RJ,SC,SP)"
"8",1997,21.2640040921472,"Brazil (exc. RR,RJ,SC,SP)"
"9",1998,22.1863419783398,"Brazil (exc. RR,RJ,SC,SP)"
"10",1999,21.3073502580945,"Brazil (exc. RR,RJ,SC,SP)"
"11",2000,22.7175305858111,"Brazil (exc. RR,RJ,SC,SP)"
"12",2001,24.4995191316642,"Brazil (exc. RR,RJ,SC,SP)"
"13",2002,25.6545598882062,"Brazil (exc. RR,RJ,SC,SP)"
"14",2003,26.4036144892127,"Brazil (exc. RR,RJ,SC,SP)"
"15",2004,25.5317769429777,"Brazil (exc. RR,RJ,SC,SP)"
"16",2005,26.1692138104187,"Brazil (exc. RR,RJ,SC,SP)"
"17",2006,28.1201947438738,"Brazil (exc. RR,RJ,SC,SP)"
"18",2007,27.9943542429273,"Brazil (exc. RR,RJ,SC,SP)"
"19",2008,30.5733152446799,"Brazil (exc. RR,RJ,SC,SP)"
"20",2009,31.7373015712195,"Brazil (exc. RR,RJ,SC,SP)"
"441",1990,61.2814189835138,"Roraima"
"442",1991,35.8483888906493,"Roraima"
"443",1992,42.1640000179582,"Roraima"
"444",1993,29.8641182619009,"Roraima"
"445",1994,30.9779500539774,"Roraima"
"446",1995,33.5629343158427,"Roraima"
"447",1996,43.296874936769,"Roraima"
"448",1997,35.3637356678325,"Roraima"
"449",1998,50.6327171740472,"Roraima"
"450",1999,57.6964865087384,"Roraima"
"451",2000,39.45782482574,"Roraima"
"452",2001,31.7269231111384,"Roraima"
"453",2002,34.8837879757489,"Roraima"
"454",2003,29.6672786709324,"Roraima"
"455",2004,22.5726881351662,"Roraima"
"456",2005,24.0213841427986,"Roraima"
"457",2006,27.2722764912729,"Roraima"
"458",2007,27.9328936310635,"Roraima"
"459",2008,25.4370940663673,"Roraima"
"460",2009,27.28370545937,"Roraima"
"361",1990,56.0485023753084,"Rio de Janeiro"
"362",1991,39.3435014826364,"Rio de Janeiro"
"363",1992,34.9637870085827,"Rio de Janeiro"
"364",1993,41.0401072523019,"Rio de Janeiro"
"365",1994,48.6561451861696,"Rio de Janeiro"
"366",1995,61.5427796398418,"Rio de Janeiro"
"367",1996,60.0389010904561,"Rio de Janeiro"
"368",1997,58.7651556708404,"Rio de Janeiro"
"369",1998,55.3231602746923,"Rio de Janeiro"
"370",1999,52.5009545628129,"Rio de Janeiro"
"371",2000,50.982254395388,"Rio de Janeiro"
"372",2001,50.4994964818317,"Rio de Janeiro"
"373",2002,56.5113373450971,"Rio de Janeiro"
"374",2003,52.6912032036361,"Rio de Janeiro"
"375",2004,49.1641332382095,"Rio de Janeiro"
"376",2005,46.1405791247249,"Rio de Janeiro"
"377",2006,45.7661492431381,"Rio de Janeiro"
"378",2007,40.1117359327452,"Rio de Janeiro"
"379",2008,33.9899001799549,"Rio de Janeiro"
"380",2009,26.2204796311402,"Rio de Janeiro"
"461",1990,8.42289680267493,"Santa Catarina"
"462",1991,7.81595043939216,"Santa Catarina"
"463",1992,7.53954786179222,"Santa Catarina"
"464",1993,7.62157151695601,"Santa Catarina"
"465",1994,7.06801972753271,"Santa Catarina"
"466",1995,8.35299595498871,"Santa Catarina"
"467",1996,8.28676472398244,"Santa Catarina"
"468",1997,8.36978728639646,"Santa Catarina"
"469",1998,7.93514263866703,"Santa Catarina"
"470",1999,7.47287405559015,"Santa Catarina"
"471",2000,7.89715403744753,"Santa Catarina"
"472",2001,8.40567166271695,"Santa Catarina"
"473",2002,10.3478505958567,"Santa Catarina"
"474",2003,11.6458242675381,"Santa Catarina"
"475",2004,11.1140361659913,"Santa Catarina"
"476",2005,10.5001372176964,"Santa Catarina"
"477",2006,11.0098610424614,"Santa Catarina"
"478",2007,10.4475744187159,"Santa Catarina"
"479",2008,13.0357481850385,"Santa Catarina"
"480",2009,13.090958299006,"Santa Catarina"
"481",1990,30.6864076954964,"São Paulo"
"482",1991,30.6151602183322,"São Paulo"
"483",1992,28.1516413027833,"São Paulo"
"484",1993,28.1915872010499,"São Paulo"
"485",1994,30.0838752897849,"São Paulo"
"486",1995,34.3210807431124,"São Paulo"
"487",1996,36.1967237715195,"São Paulo"
"488",1997,36.118657732626,"São Paulo"
"489",1998,39.680884181123,"São Paulo"
"490",1999,44.1414151341124,"São Paulo"
"491",2000,42.2089811455003,"São Paulo"
"492",2001,41.8414989806779,"São Paulo"
"493",2002,37.9645371304677,"São Paulo"
"494",2003,35.916397332448,"São Paulo"
"495",2004,28.5835432288553,"São Paulo"
"496",2005,21.5786139542146,"São Paulo"
"497",2006,19.8900222553554,"São Paulo"
"498",2007,14.9627127470305,"São Paulo"
"499",2008,14.9152795298083,"São Paulo"
"500",2009,15.2691533212269,"São Paulo"
